index,original_normalized,شماره سوره,شماره آیه,predicted_sure
2##1,الم,2,1,2
2##2,ذلك الكتاب لا ريب فيه هدي للمتقين,2,2,2
2##3,الذين يومنون بالغيب و يقيمون الصلاه و مما رزقناهم ينفقون,2,3,2
2##4,و الذين يومنون بما انزل اليك و ما انزل من قبلك و بالاخره هم يوقنون,2,4,11
2##5,اولئك علي هدي من ربهم و اولئك هم المفلحون,2,5,4
2##6,ان الذين كفروا سوا عليهم ا انذرتهم ام لم تنذرهم لا يومنون,2,6,2
2##7,ختم الله علي قلوبهم و علي سمعهم و علي ابصارهم غشاوه و لهم عذاب عظيم,2,7,2
2##8,و من الناس من يقول امنا بالله و باليوم الاخر و ما هم بمومنين,2,8,4
2##9,يخادعون الله و الذين امنوا و ما يخدعون الا انفسهم و ما يشعرون,2,9,2
2##10,في قلوبهم مرض فزادهم الله مرضا و لهم عذاب اليم بما كانوا يكذبون,2,10,2
2##11,و اذا قيل لهم لا تفسدوا في الارض قالوا انما نحن مصلحون,2,11,2
2##12,الا انهم هم المفسدون و لكن لا يشعرون,2,12,2
2##13,و اذا قيل لهم امنوا كما امن الناس قالوا ا نومن كما امن السفها الا انهم هم السفها و لكن لا يعلمون,2,13,2
2##14,و اذا لقوا الذين امنوا قالوا امنا و اذا خلوا الي شياطينهم قالوا انا معكم انما نحن مستهز ون,2,14,16
2##15,الله يستهزئ بهم و يمدهم في طغيانهم يعمهون,2,15,2
2##16,اولئك الذين اشتروا الضلاله بالهدي فما ربحت تجارتهم و ما كانوا مهتدين,2,16,2
2##17,مثلهم كمثل الذي استوقد نارا فلما اضا ت ما حوله ذهب الله بنورهم و تركهم في ظلمات لا يبصرون,2,17,2
2##18,صم بكم عمي فهم لا يرجعون,2,18,20
2##19,او كصيب من السما فيه ظلمات و رعد و برق يجعلون اصابعهم في اذانهم من الصواعق حذر الموت و الله محيط بالكافرين,2,19,2
2##20,يكاد البرق يخطف ابصارهم كلما اضا لهم مشوا فيه و اذا اظلم عليهم قاموا و لو شا الله لذهب بسمعهم و ابصارهم ان الله علي كل شي قدير,2,20,18
2##21,يا ايها الناس اعبدوا ربكم الذي خلقكم و الذين من قبلكم لعلكم تتقون,2,21,2
2##22,الذي جعل لكم الارض فراشا و السما بنا و انزل من السما ما فاخرج به من الثمرات رزقا لكم فلا تجعلوا لله اندادا و انتم تعلمون,2,22,2
2##23,و ان كنتم في ريب مما نزلنا علي عبدنا فاتوا بسوره من مثله و ادعوا شهدا كم من دون الله ان كنتم صادقين,2,23,2
2##24,فان لم تفعلوا و لن تفعلوا فاتقوا النار التي وقودها الناس و الحجاره اعدت للكافرين,2,24,2
2##25,و بشر الذين امنوا و عملوا الصالحات ان لهم جنات تجري من تحتها الانهار كلما رزقوا منها من ثمره رزقا قالوا هذا الذي رزقنا من قبل و اتوا به متشابها و لهم فيها ازواج مطهره و هم فيها خالدون,2,25,2
2##26,ان الله لا يستحيي ان يضرب مثلا ما بعوضه فما فوقها فاما الذين امنوا فيعلمون انه الحق من ربهم و اما الذين كفروا فيقولون ما ذا اراد الله بهذا مثلا يضل به كثيرا و يهدي به كثيرا و ما يضل به الا الفاسقين,2,26,2
2##27,الذين ينقضون عهد الله من بعد ميثاقه و يقطعون ما امر الله به ان يوصل و يفسدون في الارض اولئك هم الخاسرون,2,27,2
2##28,كيف تكفرون بالله و كنتم امواتا فاحياكم ثم يميتكم ثم يحييكم ثم اليه ترجعون,2,28,2
2##29,هو الذي خلق لكم ما في الارض جميعا ثم استوي الي السما فسواهن سبع سماوات و هو بكل شي عليم,2,29,6
2##30,و اذ قال ربك للملائكه اني جاعل في الارض خليفه قالوا ا تجعل فيها من يفسد فيها و يسفك الدما و نحن نسبح بحمدك و نقدس لك قال اني اعلم ما لا تعلمون,2,30,2
2##31,و علم ادم الاسما كلها ثم عرضهم علي الملائكه فقال انبئوني باسما هولا ان كنتم صادقين,2,31,2
2##32,قالوا سبحانك لا علم لنا الا ما علمتنا انك انت العليم الحكيم,2,32,2
2##33,قال يا ادم انبئهم باسمائهم فلما انباهم باسمائهم قال ا لم اقل لكم اني اعلم غيب السماوات و الارض و اعلم ما تبدون و ما كنتم تكتمون,2,33,2
2##34,و اذ قلنا للملائكه اسجدوا لادم فسجدوا الا ابليس ابي و استكبر و كان من الكافرين,2,34,2
2##35,و قلنا يا ادم اسكن انت و زوجك الجنه و كلا منها رغدا حيث شئتما و لا تقربا هذه الشجره فتكونا من الظالمين,2,35,2
2##36,فازلهما الشيطان عنها فاخرجهما مما كانا فيه و قلنا اهبطوا بعضكم لبعض عدو و لكم في الارض مستقر و متاع الي حين,2,36,2
2##37,فتلقي ادم من ربه كلمات فتاب عليه انه هو التواب الرحيم,2,37,2
2##38,قلنا اهبطوا منها جميعا فاما ياتينكم مني هدي فمن تبع هداي فلا خوف عليهم و لا هم يحزنون,2,38,20
2##39,و الذين كفروا و كذبوا باياتنا اولئك اصحاب النار هم فيها خالدون,2,39,2
2##40,يا بني اسرائيل اذكروا نعمتي التي انعمت عليكم و اوفوا بعهدي اوف بعهدكم و اياي فارهبون,2,40,2
2##41,و امنوا بما انزلت مصدقا لما معكم و لا تكونوا اول كافر به و لا تشتروا باياتي ثمنا قليلا و اياي فاتقون,2,41,43
2##42,و لا تلبسوا الحق بالباطل و تكتموا الحق و انتم تعلمون,2,42,3
2##43,و اقيموا الصلاه و اتوا الزكاه و اركعوا مع الراكعين,2,43,2
2##44,ا تامرون الناس بالبر و تنسون انفسكم و انتم تتلون الكتاب ا فلا تعقلون,2,44,2
2##45,و استعينوا بالصبر و الصلاه و انها لكبيره الا علي الخاشعين,2,45,27
2##46,الذين يظنون انهم ملاقو ربهم و انهم اليه راجعون,2,46,16
2##47,يا بني اسرائيل اذكروا نعمتي التي انعمت عليكم و اني فضلتكم علي العالمين,2,47,2
2##48,و اتقوا يوما لا تجزي نفس عن نفس شيئا و لا يقبل منها شفاعه و لا يوخذ منها عدل و لا هم ينصرون,2,48,2
2##49,و اذ نجيناكم من ال فرعون يسومونكم سو العذاب يذبحون ابنا كم و يستحيون نسا كم و في ذلكم بلا من ربكم عظيم,2,49,2
2##50,و اذ فرقنا بكم البحر فانجيناكم و اغرقنا ال فرعون و انتم تنظرون,2,50,2
2##51,و اذ واعدنا موسي اربعين ليله ثم اتخذتم العجل من بعده و انتم ظالمون,2,51,2
2##52,ثم عفونا عنكم من بعد ذلك لعلكم تشكرون,2,52,2
2##53,و اذ اتينا موسي الكتاب و الفرقان لعلكم تهتدون,2,53,2
2##54,و اذ قال موسي لقومه يا قوم انكم ظلمتم انفسكم باتخاذكم العجل فتوبوا الي بارئكم فاقتلوا انفسكم ذلكم خير لكم عند بارئكم فتاب عليكم انه هو التواب الرحيم,2,54,2
2##55,و اذ قلتم يا موسي لن نومن لك حتي نري الله جهره فاخذتكم الصاعقه و انتم تنظرون,2,55,2
2##56,ثم بعثناكم من بعد موتكم لعلكم تشكرون,2,56,2
2##57,و ظللنا عليكم الغمام و انزلنا عليكم المن و السلوي كلوا من طيبات ما رزقناكم و ما ظلمونا و لكن كانوا انفسهم يظلمون,2,57,2
2##58,و اذ قلنا ادخلوا هذه القريه فكلوا منها حيث شئتم رغدا و ادخلوا الباب سجدا و قولوا حطه نغفر لكم خطاياكم و سنزيد المحسنين,2,58,2
2##59,فبدل الذين ظلموا قولا غير الذي قيل لهم فانزلنا علي الذين ظلموا رجزا من السما بما كانوا يفسقون,2,59,26
2##60,و اذ استسقي موسي لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشره عينا قد علم كل اناس مشربهم كلوا و اشربوا من رزق الله و لا تعثوا في الارض مفسدين,2,60,2
2##61,و اذ قلتم يا موسي لن نصبر علي طعام واحد فادع لنا ربك يخرج لنا مما تنبت الارض من بقلها و قثائها و فومها و عدسها و بصلها قال ا تستبدلون الذي هو ادني بالذي هو خير اهبطوا مصرا فان لكم ما سالتم و ضربت عليهم الذله و المسكنه و با وا بغضب من الله ذلك بانهم كانوا يكفرون بايات الله و يقتلون النبيين بغير الحق ذلك بما عصوا و كانوا يعتدون,2,61,6
2##62,ان الذين امنوا و الذين هادوا و النصاري و الصابئين من امن بالله و اليوم الاخر و عمل صالحا فلهم اجرهم عند ربهم و لا خوف عليهم و لا هم يحزنون,2,62,2
2##63,و اذ اخذنا ميثاقكم و رفعنا فوقكم الطور خذوا ما اتيناكم بقوه و اذكروا ما فيه لعلكم تتقون,2,63,2
2##64,ثم توليتم من بعد ذلك فلو لا فضل الله عليكم و رحمته لكنتم من الخاسرين,2,64,2
2##65,و لقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قرده خاسئين,2,65,2
2##66,فجعلناها نكالا لما بين يديها و ما خلفها و موعظه للمتقين,2,66,23
2##67,و اذ قال موسي لقومه ان الله يامركم ان تذبحوا بقره قالوا ا تتخذنا هزوا قال اعوذ بالله ان اكون من الجاهلين,2,67,2
2##68,قالوا ادع لنا ربك يبين لنا ما هي قال انه يقول انها بقره لا فارض و لا بكر عوان بين ذلك فافعلوا ما تومرون,2,68,2
2##69,قالوا ادع لنا ربك يبين لنا ما لونها قال انه يقول انها بقره صفرا فاقع لونها تسر الناظرين,2,69,2
2##70,قالوا ادع لنا ربك يبين لنا ما هي ان البقر تشابه علينا و انا ان شا الله لمهتدون,2,70,2
2##71,قال انه يقول انها بقره لا ذلول تثير الارض و لا تسقي الحرث مسلمه لا شيه فيها قالوا الان جئت بالحق فذبحوها و ما كادوا يفعلون,2,71,2
2##72,و اذ قتلتم نفسا فاداراتم فيها و الله مخرج ما كنتم تكتمون,2,72,2
2##73,فقلنا اضربوه ببعضها كذلك يحيي الله الموتي و يريكم اياته لعلكم تعقلون,2,73,7
2##74,ثم قست قلوبكم من بعد ذلك فهي كالحجاره او اشد قسوه و ان من الحجاره لما يتفجر منه الانهار و ان منها لما يشقق فيخرج منه الما و ان منها لما يهبط من خشيه الله و ما الله بغافل عما تعملون,2,74,2
2##75,ا فتطمعون ان يومنوا لكم و قد كان فريق منهم يسمعون كلام الله ثم يحرفونه من بعد ما عقلوه و هم يعلمون,2,75,2
2##76,و اذا لقوا الذين امنوا قالوا امنا و اذا خلا بعضهم الي بعض قالوا ا تحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم ا فلا تعقلون,2,76,2
2##77,ا و لا يعلمون ان الله يعلم ما يسرون و ما يعلنون,2,77,2
2##78,و منهم اميون لا يعلمون الكتاب الا اماني و ان هم الا يظنون,2,78,2
2##79,فويل للذين يكتبون الكتاب بايديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا فويل لهم مما كتبت ايديهم و ويل لهم مما يكسبون,2,79,2
2##80,و قالوا لن تمسنا النار الا اياما معدوده قل ا اتخذتم عند الله عهدا فلن يخلف الله عهده ام تقولون علي الله ما لا تعلمون,2,80,3
2##81,بلي من كسب سيئه و احاطت به خطيئته فاولئك اصحاب النار هم فيها خالدون,2,81,2
2##82,و الذين امنوا و عملوا الصالحات اولئك اصحاب الجنه هم فيها خالدون,2,82,2
2##83,و اذ اخذنا ميثاق بني اسرائيل لا تعبدون الا الله و بالوالدين احسانا و ذي القربي و اليتامي و المساكين و قولوا للناس حسنا و اقيموا الصلاه و اتوا الزكاه ثم توليتم الا قليلا منكم و انتم معرضون,2,83,2
