,شماره سوره,شماره آیه,cluster,نام سوره
0,1,1,2,فاتحه
1,1,2,2,فاتحه
2,1,3,2,فاتحه
3,1,4,2,فاتحه
4,1,5,3,فاتحه
5,1,6,2,فاتحه
6,1,7,3,فاتحه
7,2,1,2,بقره
8,2,2,1,بقره
9,2,3,1,بقره
10,2,4,1,بقره
11,2,5,1,بقره
12,2,6,3,بقره
13,2,7,1,بقره
14,2,8,1,بقره
15,2,9,1,بقره
16,2,10,1,بقره
17,2,11,3,بقره
18,2,12,3,بقره
19,2,13,3,بقره
20,2,14,3,بقره
21,2,15,1,بقره
22,2,16,1,بقره
23,2,17,0,بقره
24,2,18,3,بقره
25,2,19,0,بقره
26,2,20,0,بقره
27,2,21,2,بقره
28,2,22,0,بقره
29,2,23,2,بقره
30,2,24,1,بقره
31,2,25,1,بقره
32,2,26,1,بقره
33,2,27,1,بقره
34,2,28,2,بقره
35,2,29,2,بقره
36,2,30,2,بقره
37,2,31,2,بقره
38,2,32,2,بقره
39,2,33,2,بقره
40,2,34,3,بقره
41,2,35,0,بقره
42,2,36,1,بقره
43,2,37,2,بقره
44,2,38,1,بقره
45,2,39,1,بقره
46,2,40,3,بقره
47,2,41,1,بقره
48,2,42,2,بقره
49,2,43,1,بقره
50,2,44,2,بقره
51,2,45,1,بقره
52,2,46,3,بقره
53,2,47,2,بقره
54,2,48,1,بقره
55,2,49,3,بقره
56,2,50,3,بقره
57,2,51,3,بقره
58,2,52,1,بقره
59,2,53,2,بقره
60,2,54,2,بقره
61,2,55,3,بقره
62,2,56,2,بقره
63,2,57,2,بقره
64,2,58,3,بقره
65,2,59,1,بقره
66,2,60,0,بقره
67,2,61,2,بقره
68,2,62,1,بقره
69,2,63,3,بقره
70,2,64,1,بقره
71,2,65,1,بقره
72,2,66,2,بقره
73,2,67,3,بقره
74,2,68,3,بقره
75,2,69,3,بقره
76,2,70,2,بقره
77,2,71,3,بقره
78,2,72,1,بقره
79,2,73,0,بقره
80,2,74,0,بقره
81,2,75,3,بقره
82,2,76,3,بقره
83,2,77,2,بقره
84,2,78,3,بقره
85,2,79,1,بقره
86,2,80,1,بقره
87,2,81,1,بقره
88,2,82,1,بقره
89,2,83,1,بقره
90,2,84,3,بقره
91,2,85,1,بقره
92,2,86,1,بقره
93,2,87,3,بقره
94,2,88,3,بقره
95,2,89,3,بقره
96,2,90,1,بقره
97,2,91,3,بقره
98,2,92,3,بقره
99,2,93,3,بقره
100,2,94,1,بقره
101,2,95,1,بقره
102,2,96,1,بقره
103,2,97,2,بقره
104,2,98,1,بقره
105,2,99,3,بقره
106,2,100,3,بقره
107,2,101,3,بقره
108,2,102,2,بقره
109,2,103,1,بقره
110,2,104,3,بقره
111,2,105,1,بقره
112,2,106,0,بقره
113,2,107,2,بقره
114,2,108,3,بقره
115,2,109,1,بقره
116,2,110,1,بقره
117,2,111,3,بقره
118,2,112,2,بقره
119,2,113,1,بقره
120,2,114,1,بقره
121,2,115,2,بقره
122,2,116,2,بقره
123,2,117,2,بقره
124,2,118,3,بقره
125,2,119,3,بقره
126,2,120,1,بقره
127,2,121,1,بقره
128,2,122,2,بقره
129,2,123,1,بقره
130,2,124,3,بقره
131,2,125,2,بقره
132,2,126,3,بقره
133,2,127,2,بقره
134,2,128,2,بقره
135,2,129,2,بقره
136,2,130,2,بقره
137,2,131,2,بقره
138,2,132,2,بقره
139,2,133,2,بقره
140,2,134,2,بقره
141,2,135,2,بقره
142,2,136,2,بقره
143,2,137,2,بقره
144,2,138,1,بقره
145,2,139,2,بقره
146,2,140,2,بقره
147,2,141,2,بقره
148,2,142,2,بقره
149,2,143,1,بقره
150,2,144,1,بقره
151,2,145,3,بقره
152,2,146,1,بقره
153,2,147,2,بقره
154,2,148,2,بقره
155,2,149,1,بقره
156,2,150,1,بقره
157,2,151,2,بقره
158,2,152,2,بقره
159,2,153,1,بقره
160,2,154,1,بقره
161,2,155,1,بقره
162,2,156,2,بقره
163,2,157,1,بقره
164,2,158,0,بقره
165,2,159,1,بقره
166,2,160,1,بقره
167,2,161,1,بقره
168,2,162,1,بقره
169,2,163,2,بقره
170,2,164,0,بقره
171,2,165,1,بقره
172,2,166,3,بقره
173,2,167,1,بقره
174,2,168,2,بقره
175,2,169,1,بقره
176,2,170,3,بقره
177,2,171,3,بقره
178,2,172,2,بقره
179,2,173,1,بقره
180,2,174,1,بقره
181,2,175,1,بقره
182,2,176,3,بقره
183,2,177,1,بقره
184,2,178,1,بقره
185,2,179,2,بقره
186,2,180,1,بقره
187,2,181,1,بقره
188,2,182,1,بقره
189,2,183,1,بقره
190,2,184,0,بقره
191,2,185,0,بقره
192,2,186,3,بقره
193,2,187,0,بقره
194,2,188,1,بقره
195,2,189,0,بقره
196,2,190,1,بقره
197,2,191,1,بقره
198,2,192,1,بقره
199,2,193,1,بقره
200,2,194,1,بقره
201,2,195,1,بقره
202,2,196,0,بقره
203,2,197,1,بقره
204,2,198,2,بقره
205,2,199,1,بقره
206,2,200,2,بقره
207,2,201,1,بقره
208,2,202,1,بقره
209,2,203,1,بقره
210,2,204,2,بقره
211,2,205,1,بقره
212,2,206,1,بقره
213,2,207,1,بقره
214,2,208,1,بقره
215,2,209,2,بقره
216,2,210,2,بقره
217,2,211,3,بقره
218,2,212,1,بقره
219,2,213,2,بقره
220,2,214,3,بقره
221,2,215,1,بقره
222,2,216,1,بقره
223,2,217,1,بقره
224,2,218,1,بقره
225,2,219,1,بقره
226,2,220,1,بقره
227,2,221,1,بقره
228,2,222,1,بقره
229,2,223,1,بقره
230,2,224,2,بقره
231,2,225,1,بقره
232,2,226,1,بقره
233,2,227,2,بقره
234,2,228,1,بقره
235,2,229,1,بقره
236,2,230,1,بقره
237,2,231,1,بقره
238,2,232,1,بقره
239,2,233,1,بقره
240,2,234,1,بقره
241,2,235,1,بقره
242,2,236,0,بقره
243,2,237,2,بقره
244,2,238,1,بقره
245,2,239,3,بقره
246,2,240,1,بقره
247,2,241,1,بقره
248,2,242,2,بقره
249,2,243,1,بقره
250,2,244,1,بقره
251,2,245,1,بقره
252,2,246,3,بقره
253,2,247,2,بقره
254,2,248,3,بقره
255,2,249,3,بقره
256,2,250,3,بقره
257,2,251,2,بقره
258,2,252,3,بقره
259,2,253,2,بقره
260,2,254,1,بقره
261,2,255,2,بقره
262,2,256,2,بقره
263,2,257,1,بقره
264,2,258,2,بقره
265,2,259,0,بقره
266,2,260,2,بقره
267,2,261,1,بقره
268,2,262,1,بقره
269,2,263,1,بقره
270,2,264,1,بقره
271,2,265,1,بقره
272,2,266,0,بقره
273,2,267,1,بقره
274,2,268,1,بقره
275,2,269,2,بقره
276,2,270,1,بقره
277,2,271,1,بقره
278,2,272,1,بقره
279,2,273,1,بقره
280,2,274,1,بقره
281,2,275,1,بقره
282,2,276,1,بقره
283,2,277,1,بقره
284,2,278,1,بقره
285,2,279,1,بقره
286,2,280,2,بقره
287,2,281,1,بقره
288,2,282,2,بقره
289,2,283,1,بقره
290,2,284,2,بقره
291,2,285,1,بقره
292,2,286,2,بقره
293,3,1,2,آل عمران
294,3,2,2,آل عمران
295,3,3,2,آل عمران
296,3,4,1,آل عمران
297,3,5,2,آل عمران
298,3,6,2,آل عمران
299,3,7,2,آل عمران
300,3,8,2,آل عمران
301,3,9,1,آل عمران
302,3,10,1,آل عمران
303,3,11,3,آل عمران
304,3,12,1,آل عمران
305,3,13,0,آل عمران
306,3,14,1,آل عمران
307,3,15,1,آل عمران
308,3,16,1,آل عمران
309,3,17,1,آل عمران
310,3,18,2,آل عمران
311,3,19,1,آل عمران
312,3,20,2,آل عمران
313,3,21,1,آل عمران
314,3,22,1,آل عمران
315,3,23,1,آل عمران
316,3,24,1,آل عمران
317,3,25,2,آل عمران
318,3,26,2,آل عمران
319,3,27,0,آل عمران
320,3,28,1,آل عمران
321,3,29,2,آل عمران
322,3,30,1,آل عمران
323,3,31,1,آل عمران
324,3,32,1,آل عمران
325,3,33,2,آل عمران
326,3,34,2,آل عمران
327,3,35,2,آل عمران
328,3,36,2,آل عمران
329,3,37,2,آل عمران
330,3,38,2,آل عمران
331,3,39,2,آل عمران
332,3,40,2,آل عمران
333,3,41,2,آل عمران
334,3,42,2,آل عمران
335,3,43,2,آل عمران
336,3,44,2,آل عمران
337,3,45,2,آل عمران
338,3,46,2,آل عمران
339,3,47,2,آل عمران
340,3,48,2,آل عمران
341,3,49,2,آل عمران
342,3,50,2,آل عمران
343,3,51,2,آل عمران
344,3,52,3,آل عمران
345,3,53,2,آل عمران
346,3,54,1,آل عمران
347,3,55,3,آل عمران
348,3,56,1,آل عمران
349,3,57,1,آل عمران
350,3,58,2,آل عمران
351,3,59,2,آل عمران
352,3,60,2,آل عمران
353,3,61,3,آل عمران
354,3,62,2,آل عمران
355,3,63,1,آل عمران
356,3,64,2,آل عمران
357,3,65,2,آل عمران
358,3,66,2,آل عمران
359,3,67,3,آل عمران
360,3,68,1,آل عمران
361,3,69,3,آل عمران
362,3,70,3,آل عمران
363,3,71,2,آل عمران
364,3,72,2,آل عمران
365,3,73,2,آل عمران
366,3,74,1,آل عمران
367,3,75,1,آل عمران
368,3,76,1,آل عمران
369,3,77,1,آل عمران
370,3,78,1,آل عمران
371,3,79,2,آل عمران
372,3,80,1,آل عمران
373,3,81,3,آل عمران
374,3,82,1,آل عمران
375,3,83,2,آل عمران
376,3,84,2,آل عمران
377,3,85,1,آل عمران
378,3,86,3,آل عمران
379,3,87,1,آل عمران
380,3,88,1,آل عمران
381,3,89,1,آل عمران
382,3,90,1,آل عمران
383,3,91,1,آل عمران
384,3,92,2,آل عمران
385,3,93,3,آل عمران
386,3,94,1,آل عمران
387,3,95,3,آل عمران
388,3,96,2,آل عمران
389,3,97,2,آل عمران
390,3,98,2,آل عمران
391,3,99,1,آل عمران
392,3,100,1,آل عمران
393,3,101,3,آل عمران
394,3,102,1,آل عمران
395,3,103,1,آل عمران
396,3,104,1,آل عمران
397,3,105,1,آل عمران
398,3,106,1,آل عمران
399,3,107,1,آل عمران
400,3,108,3,آل عمران
401,3,109,2,آل عمران
402,3,110,1,آل عمران
403,3,111,1,آل عمران
404,3,112,1,آل عمران
