شماره در مصحف,نام سوره,شماره در ترتیب نزول
۲,سوره بقره,۸۷
۸,سوره انفال,۸۸
۳,سوره آل عمران,۸۹
۳۳,سوره احزاب,۹۰
۶۰,سوره ممتحنه,۹۱
۴,سوره نساء,۹۲
۹۹,سوره زلزال,۹۳
۵۷,سوره حدید,۹۴
۴۷,سوره محمد,۹۵
۱۳,سوره رعد,۹۶
۵۵,سوره الرحمن,۹۷
۷۶,سوره انسان,۹۸
۶۵,سوره طلاق,۹۹
۹۸,سوره بينة,۱۰۰
۵۹,سوره حشر,۱۰۱
۱۱۰,سوره نصر,۱۰۲
۲۴,سوره نور,۱۰۳
۲۲,سوره حج,۱۰۴
۶۳,سوره منافقون,۱۰۵
۵۸,سوره مجادله,۱۰۶
۴۹,سوره حجرات,۱۰۷
۶۶,سوره تحریم,۱۰۸
۶۲,سوره جمعه,۱۰۹
۶۴,سوره تغابن,۱۱۰
۶۱,سوره صف,۱۱۱
۴۸,سوره فتح,۱۱۲
۵,سوره مائده,۱۱۳
۹,سوره توبه,۱۱۴
