شماره در مصحف,نام سوره,شماره در ترتیب نزول
۹۶,سوره علق,۱
۶۸,سوره قلم,۲
۷۳,سوره مزمل,۳
۷۴,سوره مدثر,۴
۱,سوره حمد,۵
۱۱۱,سوره مسد,۶
۸۱,سوره تکویر,۷
۸۷,سوره اعلی,۸
۹۲,سوره الليل,۹
۸۹,سوره فجر,۱۰
۹۳,سوره الضحى,۱۱
۹۴,سوره انشراح,۱۲
۱۰۳,سوره عصر,۱۳
۱۰۰,سوره عادیات,۱۴
۱۰۸,سوره کوثر,۱۵
۱۰۲,سوره تکاثر,۱۶
۱۰۷,سوره ماعون,۱۷
۱۰۹,سوره کافرون,۱۸
۱۰۵,سوره فیل,۱۹
۱۱۳,سوره فلق,۲۰
۱۱۴,سوره ناس,۲۱
۱۱۲,سوره اخلاص,۲۲
۵۳,سوره نجم,۲۳
۸۰,سوره عبس,۲۴
۹۷,سوره قدر,۲۵
۹۱,سوره شمس,۲۶
۸۵,سوره بروج,۲۷
۹۵,سوره تین,۲۸
۱۰۶,سوره قریش,۲۹
۱۰۱,سوره قارعة,۳۰
۷۵,سوره قيامة,۳۱
۱۰۴,سوره الهمزة,۳۲
۷۷,سوره مرسلات,۳۳
۸۶,سوره الطارق,۳۵
۹۰,سوره بلد,۳۵
۵۴,سوره قمر,۳۷
۳۸,سوره ص,۳۸
۷,سوره اعراف,۳۹
۷۲,سوره جن,۴۰
۳۶,سوره یس,۴۱
۲۵,سوره فرقان,۴۲
۳۵,سوره فاطر,۴۳
۵۰,سوره ق,۴۳
۱۹,سوره مریم,۴۴
۲۰,سوره طه,۴۵
۵۶,سوره واقعه,۴۶
۲۶,سوره شعراء,۴۷
۲۷,سوره نمل,۴۸
۲۸,سوره قصص,۴۹
۱۷,سوره اسراء,۵۰
۱۰,سوره یونس,۵۱
۱۱,سوره هود,۵۲
۱۲,سوره یوسف,۵۳
۱۵,سوره حجر,۵۴
۶,سوره انعام,۵۵
۳۷,سوره صافات,۵۶
۳۱,سوره لقمان,۵۷
۳۴,سوره سبا,۵۸
۳۹,سوره زمر,۵۹
۴۰,سوره غافر,۶۰
۴۱,سوره فصلت,۶۱
۴۲,سوره شوری,۶۲
۴۳,سوره زخرف,۶۳
۴۴,سوره دخان,۶۴
۴۵,سوره جاثيه,۶۵
۴۶,سوره احقاف,۶۶
۵۱,سوره ذاریات,۶۷
۸۸,سوره الغاشية,۶۸
۱۸,سوره کهف,۶۹
۱۶,سوره نحل,۷۰
۷۱,سوره نوح,۷۱
۱۴,سوره ابراهیم,۷۲
۲۱,سوره انبیاء,۷۳
۲۳,سوره مؤمنون,۷۴
۳۲,سوره سجده,۷۵
۵۲,سوره طور,۷۶
۶۷,سوره ملک,۷۷
۶۹,سوره الحاقة,۷۸
۷۰,سوره معارج,۷۹
۷۸,سوره نبا,۸۰
۷۹,سوره نازعات,۸۱
۸۲,سوره انفطار,۸۲
۸۴,سوره انشقاق,۸۳
۳۰,سوره روم,۸۴
۲۹,سوره عنکبوت,۸۵
۸۳,سوره مطففین,۸۶
